title,price,description,images,link
Adjustable Roller Skates Comfortable & Smooth Ride,"180 د.إ 
Original price was: 180 د.إ.
160 د.إ
Current price is: 160 د.إ.","Glide smoothly and confidently with our Adjustable Inline Roller Skates, designed for beginners, intermediate skaters, and pros alike. Made with a durable frame, high-performance wheels, and a secure locking system, these skates offer the perfect blend of speed, comfort, and stability. Whether you’re skating outdoors, at the park, or in a skating rink, these skates guarantee a smooth and enjoyable ride every time.

 Key Features

 Adjustable Size – Easily adjust the skates to fit growing feet, making them ideal for kids, teens, and adults.

 High-Performance PU Wheels – Smooth-rolling, shock-absorbing wheels for excellent grip and control on any surface.

 Comfortable Inner Padding – Soft, breathable liner ensures maximum comfort, even during long skating sessions.

 Triple Locking System – Secure fit with lace-up closure, adjustable strap, and safety buckle for added ankle support.

 Durable Frame & Build – Strong chassis provides stability, balance, and long-lasting performance.

 Smooth & Silent Ride – Precision bearings deliver speed and fluid motion with minimal effort.",images/Adjustable Roller Skates Comfortable  Smooth Ride/img1.jpg|images/Adjustable Roller Skates Comfortable  Smooth Ride/img2.jpg|images/Adjustable Roller Skates Comfortable  Smooth Ride/img3.jpg|images/Adjustable Roller Skates Comfortable  Smooth Ride/img4.jpg|images/Adjustable Roller Skates Comfortable  Smooth Ride/img5.jpg,https://iqracart.com/product/adjustable-inline-roller-skates-comfortable-durable-smooth-ride-for-all-ages/
Aloe Vera Foam Face Wash for Acne & Oil Control (100ml),"15 د.إ 
Original price was: 15 د.إ.
13 د.إ
Current price is: 13 د.إ.","Achieve a Clear, Shine-Free Complexion with Touch Me! Please Face Wash

Struggling with oily skin and unwanted breakouts? Discover the refreshing, gentle solution with the Touch Me! Please Aloe Vera Foam Face Wash. Expertly formulated in Thailand, this daily cleanser is your first step towards a calmer, clearer, and more confident complexion.

Our rich foaming formula dives deep into pores to remove dirt, excess oil, and impurities without stripping your skin of its natural moisture. Enriched with the soothing power of natural Aloe Vera, it helps to reduce redness and irritation associated with acne, leaving your skin feeling soft, hydrated, and perfectly balanced.",images/Aloe Vera Foam Face Wash for Acne  Oil Control 100ml/img1.jpg|images/Aloe Vera Foam Face Wash for Acne  Oil Control 100ml/img2.jpg|images/Aloe Vera Foam Face Wash for Acne  Oil Control 100ml/img3.jpg|images/Aloe Vera Foam Face Wash for Acne  Oil Control 100ml/img4.jpg,https://iqracart.com/product/aloe-vera-foam-face-wash-for-acne-oil-control-100ml-touch-me-please/
Apple Ammonia-Free Hair Color Gel with 100% Gray Coverage Black,"45 د.إ 
Original price was: 45 د.إ.
39 د.إ
Current price is: 39 د.إ.","Get naturally black, shiny hair in minutes with Apple Ammonia-Free Hair Color Gel. Gentle on hair and scalp, this non-toxic formula delivers 100% gray coverage with a fresh apple fragrance.

Transform your look instantly with Apple Ammonia-Free Hair Color Gel, specially formulated for safe, fast, and effective gray hair coverage. Designed for both men and women, this professional hair color gel delivers a natural black finish while keeping your hair soft, healthy, and radiant.

The ammonia-free, lead-free formula is gentle on the scalp and hair, making it suitable for regular use. Enriched with apple essence, it leaves your hair with a fresh, pleasant fragrance and long-lasting color that looks natural and even.

Perfect for home use, this easy-to-apply gel works in just 8–10 minutes, saving time while delivering salon-quality results.",images/Apple Ammonia-Free Hair Color Gel with 100 Gray Coverage Black/img1.jpg|images/Apple Ammonia-Free Hair Color Gel with 100 Gray Coverage Black/img2.jpg|images/Apple Ammonia-Free Hair Color Gel with 100 Gray Coverage Black/img3.jpg|images/Apple Ammonia-Free Hair Color Gel with 100 Gray Coverage Black/img4.jpg,https://iqracart.com/product/apple-ammonia-free-hair-color-gel-100-gray-coverage-long-lasting-natural-black-for-men-women/
ARMAN Eau de Perfume from Lavish Perfumes (100ml / 3.4 fl.oz),"75 د.إ 
Original price was: 75 د.إ.
63 د.إ
Current price is: 63 د.إ.","Define Your Presence with ARMAN.

Discover ARMAN by Lavish Perfumes, an Eau de Parfum crafted for the discerning individual who embodies grace and confidence. This fragrance is a celebration of refined taste, blending classic notes with a contemporary twist to create a truly unforgettable aroma. Each spray unveils a symphony of scents that lingers beautifully, making a subtle yet powerful statement.

The elegant bottle and packaging reflect the sophisticated nature of the fragrance within. Its clean design and prominent branding highlight its premium quality. Proudly produced in the UAE and holding the Emirates Quality Mark, ARMAN stands for authenticity and excellence.

Whether you’re attending a formal event, heading to the office, or enjoying a casual outing, ARMAN is the perfect complement to your personal style, leaving an indelible mark wherever you go.

Scent Profile:

Top Notes: Fresh Bergamot, Hint of Black Pepper
Heart Notes: Delicate Floral Accord, Cedarwood
Base Notes: Rich Amber, Patchouli, Soft Musk

(Note: The scent profile is an interpretation based on the product’s name and branding. This can be customized to match the actual fragrance notes.)

Key Features:

Elegant & Timeless Scent: A sophisticated fragrance that balances classic charm with modern appeal.
Long-Lasting Formula: As an Eau de Parfum with 80% Vol. concentration, it ensures a durable and impactful aroma.
Generous Volume: A substantial 100ml bottle provides ample supply for regular use.
Premium Presentation: Housed in a chic glass bottle and a refined box, ideal for gifting or personal indulgence.
Quality Assured: Certified with the Emirates Quality Mark (NB-0019), guaranteeing adherence to high standards.
Authentically Produced: Developed and manufactured in the UAE.

Specifications:

Brand: Lavish Perfumes
Fragrance Name: ARMAN
Type: Eau de Parfum (EDP)
Volume: 100ml e / 3.4 fl.oz
Alcohol Content: 80% Vol.
Main Ingredients: Denatured Ethyl Alcohol, Fragrance, Distilled Water (Aqua).
Origin: Made in UAE

How to Use & Safety Information:

Application: For best results, spray evenly onto pulse points such as your wrists, inner elbows, and neck.
Warnings:
Flammable until dry. Keep away from heat and open flame.
Avoid direct contact with eyes.
Keep out of reach of children.
For external use only.",images/ARMAN Eau de Perfume from Lavish Perfumes 100ml  34 floz/img1.jpg|images/ARMAN Eau de Perfume from Lavish Perfumes 100ml  34 floz/img2.jpg|images/ARMAN Eau de Perfume from Lavish Perfumes 100ml  34 floz/img3.jpg,https://iqracart.com/product/arman-eau-de-perfume-from-lavish-perfumes-100ml-3-4-fl-oz/
"Avocado Face Wash – Deep Cleanse, Whitening & Anti-Aging (100ml)","17 د.إ 
Original price was: 17 د.إ.
15 د.إ
Current price is: 15 د.إ.","Refresh and purify your skin with the Touch Me PLEASE Avocado Face Wash. This gentle, oil-free foaming cleanser deeply removes impurities while harnessing the anti-aging power of natural avocado extract. Rich in Vitamins E & B, it helps to brighten the complexion, reduce the appearance of fine lines, and leave your skin feeling clean, smooth, and revitalized.

Detailed Description: Discover the secret to a radiant and youthful complexion with the Touch Me PLEASE Avocado Face Wash. Designed as a gentle, soap-free alternative, this cleanser provides an effective deep cleanse to wash away daily dirt, excess oil, and makeup residue without stripping the skin’s natural moisture.

The formula is enriched with natural Avocado Extract, a powerhouse of nutrients including Vitamins E and B. These powerful antioxidants help combat the signs of aging by reducing the appearance of fine lines and wrinkles. This face wash works to refine skin texture, promote a brighter, more even skin tone, and restore a healthy glow. Suitable for all skin types, its rich foaming action makes your daily cleansing routine a refreshing experience.

 ",images/Avocado Face Wash  Deep Cleanse Whitening  Anti-Aging 100ml/img1.jpg|images/Avocado Face Wash  Deep Cleanse Whitening  Anti-Aging 100ml/img2.jpg|images/Avocado Face Wash  Deep Cleanse Whitening  Anti-Aging 100ml/img3.jpg,https://iqracart.com/product/avocado-face-wash-deep-cleanse-whitening-anti-aging-100ml-touch-me-please/
Ball-Blowing Train Atomizing Humidifier Toy with Lights Music,"39 د.إ 
Original price was: 39 د.إ.
29 د.إ
Current price is: 29 د.إ.","Make playtime more exciting and relaxing with this Ball-Blowing Train Atomizing Humidifier, a fun and interactive toy that combines entertainment with gentle mist spray. Designed in a colorful train shape, it captures children’s attention while creating a soothing and playful environment.

The train features a spray (mist) function that mimics steam coming from the chimney, along with dynamic music and colorful LED lights that enhance sensory engagement. Its universal moving design allows it to move smoothly, making it fun to watch and play with.

Perfect for kids’ rooms, play areas, or as a unique gift, this multifunctional toy helps create a cheerful atmosphere while doubling as a decorative humidifier effect. Safe, engaging, and visually appealing, it’s ideal for children who love lights, sounds, and motion.",images/Ball-Blowing Train Atomizing Humidifier Toy with Lights Music/img1.jpg|images/Ball-Blowing Train Atomizing Humidifier Toy with Lights Music/img2.jpg|images/Ball-Blowing Train Atomizing Humidifier Toy with Lights Music/img3.jpg|images/Ball-Blowing Train Atomizing Humidifier Toy with Lights Music/img4.jpg,https://iqracart.com/product/ball-blowing-train-atomizing-humidifier-toy-with-lights-music-spray-function/
Blueidea Mini Fascial Gun – Deep Muscle Massage (Model BLD-668),"40 د.إ 
Original price was: 40 د.إ.
31 د.إ
Current price is: 31 د.إ.","Your Personal Deep Tissue Massage Therapist

Relieve soreness, boost recovery, and restore energy with the Blueidea Mini Fascial Gun BLD-668 — a compact yet powerful deep muscle massager designed for everyday use. Featuring four interchangeable massage heads, this device targets specific muscle groups for tailored relief and improved performance.

 Key Features

4 Specialty Massage Heads
Customizable attachments for different muscle groups — ideal for back, shoulders, legs, and arms.

Deep Muscle Penetration
High-frequency percussive motion that reaches deep muscle layers to relieve stiffness and knots.

Compact & Lightweight Design
Portable, ergonomic, and travel-friendly — perfect for the gym, office, or home use.

USB Rechargeable
Long-lasting battery with 5V charging for convenience and mobility.

Quiet & Powerful Motor
Engineered to deliver powerful relief with minimal noise for a relaxing experience.",images/Blueidea Mini Fascial Gun  Deep Muscle Massage Model BLD-668/img1.jpg|images/Blueidea Mini Fascial Gun  Deep Muscle Massage Model BLD-668/img2.jpg|images/Blueidea Mini Fascial Gun  Deep Muscle Massage Model BLD-668/img3.jpg|images/Blueidea Mini Fascial Gun  Deep Muscle Massage Model BLD-668/img4.jpg,https://iqracart.com/product/blueidea-mini-fascial-gun-deep-muscle-massage-model-bld-668/
Brut Eau de Toilette for Men – 100ml | Classic Masculine Fragrance,"35 د.إ 
Original price was: 35 د.إ.
29 د.إ
Current price is: 29 د.إ.","Experience timeless sophistication with Brut Eau de Toilette — a bold, fresh, and masculine scent that defines confidence and charm.

 Overview

Brut Eau de Toilette is a legendary men’s fragrance that has stood the test of time. Known for its strong, clean, and distinctive aroma, this classic scent blends spicy, woody, and aromatic notes for a confident and long-lasting impression. Perfect for the modern gentleman who values tradition and elegance.

 Fragrance Notes

Top Notes: Lemon, Bergamot, and Anise

Heart Notes: Geranium, Lavender, and Basil

Base Notes: Sandalwood, Oakmoss, and Musk",images/Brut Eau de Toilette for Men  100ml  Classic Masculine Fragrance/img1.jpg|images/Brut Eau de Toilette for Men  100ml  Classic Masculine Fragrance/img2.jpg|images/Brut Eau de Toilette for Men  100ml  Classic Masculine Fragrance/img3.jpg,https://iqracart.com/product/brut-eau-de-toilette-for-men-100ml-classic-masculine-fragrance/
Caliph Hamraa Ahwa Eau de Parfum – 100ml | Oriental Luxury Unisex Fragrance,"45 د.إ 
Original price was: 45 د.إ.
37 د.إ
Current price is: 37 د.إ.","An elegant oriental blend that radiates warmth and sophistication. Hamraa Ahwa by Caliph offers a perfect fusion of spicy, woody, and sweet notes — a true expression of Arabian luxury.

 Overview

Caliph Hamraa Ahwa Eau de Parfum is a masterfully crafted fragrance designed for those who appreciate depth, richness, and distinction. With its amber heart, smoky undertones, and hints of spice, this perfume captures the essence of refined Arabian elegance. Suitable for both men and women, it’s the ideal scent for evening wear or special occasions.

 Fragrance Notes

Top Notes: Saffron, Cinnamon, and Bergamot

Heart Notes: Amber, Rose, and Cedarwood

Base Notes: Oud, Vanilla, and Musk",images/Caliph Hamraa Ahwa Eau de Parfum  100ml  Oriental Luxury Unisex Fragrance/img1.jpg|images/Caliph Hamraa Ahwa Eau de Parfum  100ml  Oriental Luxury Unisex Fragrance/img2.jpg|images/Caliph Hamraa Ahwa Eau de Parfum  100ml  Oriental Luxury Unisex Fragrance/img3.jpg,https://iqracart.com/product/caliph-hamraa-ahwa-eau-de-parfum-100ml-oriental-luxury-unisex-fragrance/
Coffee & Turmeric Face Wash – Deep Cleanse & Oil Free (100ml),"15 د.إ 
Original price was: 15 د.إ.
13 د.إ
Current price is: 13 د.إ.","Awaken and purify your skin with the Touch Me PLEASE Coffee & Turmeric Face Wash. This energizing, oil-free cleanser provides a deep cleanse to remove impurities, while natural coffee gently exfoliates and brightens. Infused with turmeric for its powerful antiseptic and preventative properties, this face wash helps reduce redness and control breakouts, leaving your skin clear, smooth, and revitalized.

Detailed Description: Energize your daily skincare routine with the invigorating Touch Me PLEASE Coffee & Turmeric Face Wash. Expertly formulated to deeply cleanse and purify, this foaming cleanser effectively removes excess oil, dirt, and impurities, leaving your complexion feeling fresh and ready to face the day.

This powerful formula harnesses the natural benefits of its key ingredients. Coffee acts as a gentle exfoliant, helping to slough away dead skin cells to reveal a brighter, smoother, and more even-toned appearance. It also helps to reduce inflammation and redness. The addition of Turmeric, renowned for its natural antiseptic and preventative qualities, works to combat acne-causing bacteria and prevent future breakouts. This makes it an ideal choice for achieving a clear, balanced, and healthy-looking complexion.",images/Coffee  Turmeric Face Wash  Deep Cleanse  Oil Free 100ml/img1.jpg|images/Coffee  Turmeric Face Wash  Deep Cleanse  Oil Free 100ml/img2.jpg|images/Coffee  Turmeric Face Wash  Deep Cleanse  Oil Free 100ml/img3.jpg|images/Coffee  Turmeric Face Wash  Deep Cleanse  Oil Free 100ml/img4.jpg,https://iqracart.com/product/coffee-turmeric-face-wash-deep-cleanse-oil-free-100ml-touch-me-please/
Colors Pour Femme Eau de Parfum – 100ml | Gianni Venturi,"42 د.إ 
Original price was: 42 د.إ.
31 د.إ
Current price is: 31 د.إ.","A bright, feminine fragrance that celebrates confidence and color. Colors Pour Femme by Gianni Venturi blends floral and fruity notes to create an irresistibly cheerful and elegant scent for everyday wear.

 Overview

Bring vibrance and charm to your day with Gianni Venturi Colors Pour Femme Eau de Parfum. Inspired by the beauty of diversity and modern femininity, this perfume combines fresh citrus, soft florals, and warm musk to leave a lasting impression of joy and sophistication.

 Fragrance Notes

Top Notes: Bergamot, Peach, and Mandarin

Heart Notes: Jasmine, Rose, and Lily of the Valley

Base Notes: Musk, Vanilla, and Sandalwood",images/Colors Pour Femme Eau de Parfum  100ml  Gianni Venturi/img1.jpg|images/Colors Pour Femme Eau de Parfum  100ml  Gianni Venturi/img2.jpg|images/Colors Pour Femme Eau de Parfum  100ml  Gianni Venturi/img3.jpg,https://iqracart.com/product/colors-pour-femme-eau-de-parfum-100ml-gianni-venturi/
Colors Pour Homme Eau de Parfum – 100ml | Gianni Venturi,"42 د.إ 
Original price was: 42 د.إ.
31 د.إ
Current price is: 31 د.إ.","A vibrant and masculine fragrance that captures strength, style, and confidence. Colors Pour Homme by Gianni Venturi blends fresh citrus, spicy woods, and warm amber for a bold, long-lasting scent perfect for any occasion.

 Overview

Step into sophistication with Gianni Venturi Colors Pour Homme Eau de Parfum, a dynamic scent designed for the modern man. The fragrance opens with crisp, refreshing notes and settles into a deep, woody base that leaves a memorable trail wherever you go.

 Fragrance Notes

Top Notes: Lemon, Bergamot, and Green Apple

Heart Notes: Black Pepper, Lavender, and Geranium

Base Notes: Amber, Musk, and Cedarwood",images/Colors Pour Homme Eau de Parfum  100ml  Gianni Venturi/img1.jpg|images/Colors Pour Homme Eau de Parfum  100ml  Gianni Venturi/img2.jpg|images/Colors Pour Homme Eau de Parfum  100ml  Gianni Venturi/img3.jpg,https://iqracart.com/product/colors-pour-homme-eau-de-parfum-100ml-gianni-venturi/
